Name,Price,itemReviewed,worstRating,ratingValue,bestRating,reviewCount,Вино:,Регион:,Производитель:,Крепость,Объем:,Виноград:
"Вино красное сухое Шато Брондель, Грав, 2015, 0.75 л — купить французское вино Chateau Brondelle, Graves AOC, 2015, Vignobles Belloc, Франция, 750 мл – цена",1 533,"Вино Chateau Brondelle, Graves AOC, 2015",1,8.0,10,8,"Красное,сухое","Франция,Бордо,Грав",Vignobles Belloc,14%,0.75 л,"Мерло,Каберне Совиньон,Пти Вердо"
"Вино красное сухое Сан Микеле а Торри, ""Тенута Ла Габбиола"" Кьянти Классико, 2016, 0.75 л — купить итальянское вино San Michele a Torri, ""Tenuta La Gabbiola"" Chianti Classico DOCG, 2016, Италия, 750 мл – цена, отзывы",964,"Вино San Michele a Torri, ""Tenuta La Gabbiola"" Chianti Classico DOCG, 2016",1,8.0,10,7,"Красное,сухое","Италия,Тоскана,Кьянти Классико",San Michele a Torri,14.5%,0.75 л,"Санджовезе,Сира"
"Вино красное сухое ""Фавунэ"" Россо, 2017, 0.75 л — купить итальянское вино Teanum, ""Favugne"" Rosso, San Severo DOP, 2017, Италия, 750 мл – цена, отзывы",784,"Вино Teanum, ""Favugne"" Rosso, San Severo DOP, 2017",1,9.0,10,2,"Красное,сухое","Италия,Апулия",Teanum,13%,0.75 л,Монтепульчано
"Вино красное сухое ""Рок Гри"" Кот дю Руссийон Вилляж Тотавель, 2015, 0.75 л — купить французское вино ""Roc Gris"" Cotes du Roussillon Villages Tautavel AOC, 2015, Les Vignerons de Tautavel Vingrau, Франция, 750 мл – цена, отзывы",1 144,NA,NA,NA,NA,NA,"Красное,сухое","Франция,Лангедок-Руссийон,Кот дю Руссийон",Les Vignerons de Tautavel Vingrau,14.5%,0.75 л,"Гренаш/Гарнача,Сира,Кариньяно"
"Вино красное сухое Кантина Френтана, ""60 Анни"" Монтепульчано д'Абруццо Ризерва, 2015, 0.75 л — купить итальянское вино Cantina Frentana, ""60 Anni"" Montepulciano d'Abruzzo DOC Riserva, 2015, Сantina Frentana, Италия, 750 мл – цена, отзывы",1 345,NA,NA,NA,NA,NA,"Красное,сухое","Италия,Абруццо",Сantina Frentana,14%,0.75 л,Монтепульчано
"Вино красное сухое Маркес де Монтехос, ""Селексьон"" Менсия, 2015, 0.75 л — купить испанское вино Marques de Montejos, ""Seleccion"" Mencia, 2015, Palacio de Arganza, Испания, 750 мл – цена, отзывы",1 047,NA,NA,NA,NA,NA,"Красное,сухое","Испания,Кастилья и Леон",Palacio de Arganza,13%,0.75 л,Менсия
"Вино красное сухое ""Сималь"" Гарнача, 2016, 0.75 л — купить испанское вино Familia Bastida, ""Cimal"" Garnacha, La Mancha DO, 2016, Bodegas Bastida, Испания, 750 мл – цена, отзывы",971,NA,NA,NA,NA,NA,"Красное,сухое","Испания,Кастилия Ла Манча",Bodegas Bastida,14%,0.75 л,Гренаш/Гарнача
"Вино красное сухое ""Драма"" Ред Бленд, 2015, 0.75 л — купить испанское вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2015, Bodegas Bastida, Испания, 750 мл – цена, отзывы",788,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2015",1,7.1,10,27,"Красное,сухое","Испания,Ла Манча",Bodegas Bastida,14%,0.75 л,"Темпранильо,Гренаш/Гарнача"
"Вино розовое сухое Кантина Диомеде, ""Фолиа"" Росато Негроамаро, 2018, 0.75 л — купить итальянское вино Cantina Diomede, ""Folia"" Rosato Negroamaro, Puglia IGP, 2018, Farnese, Италия, 750 мл – цена, отзывы",936,NA,NA,NA,NA,NA,"Розовое,сухое","Италия,Апулия,Пулья",Farnese,12.5%,0.75 л,Негроамаро
"Вино красное сухое Рафаэль Камбра, Сопло, 2014, 0.75 л — купить испанское вино Rafael Cambra, Soplo, Valencia DO, 2014, Испания, 750 мл – цена",853,"Вино Rafael Cambra, Soplo, Valencia DO, 2014",1,7.7,10,9,"Красное,сухое","Испания,Валенсия",Rafael Cambra,13.5%,0.75 л,Гренаш/Гарнача
"Вино красное сухое Рамирес де ла Писцина, Крианса, 2015, 0.75 л — купить испанское вино Ramirez de la Piscina, Crianza, Rioja DOCa, 2015, Испания, 750 мл – цена",1 240,"Вино Ramirez de la Piscina, Crianza, Rioja DOCa, 2015",1,8.5,10,4,"Красное,сухое","Испания,Риоха",Ramirez de la Piscina,15%,0.75 л,Темпранильо
"Вино красное сухое Кантина Диомеде, ""Ореа"" Примитиво, 2017, 0.75 л — купить итальянское вино Cantina Diomede, ""Orea"" Primitivo, Puglia IGP, 2017, Farnese, Италия, 750 мл – цена, отзывы",1 167,NA,NA,NA,NA,NA,"Красное,сухое","Италия,Апулия,Пулья",Farnese,13%,0.75 л,Примитиво
"Вино розовое сухое ""Чопо"" Монастрель Розе, 2018, 0.75 л — купить испанское вино ""Chopo"" Monastrell Rose, Jumilla DOP, 2018, Alceno, Испания, 750 мл – цена, отзывы",981,NA,NA,NA,NA,NA,"Розовое,сухое","Испания,Мурсия,Хумилья",Alceno,12.5%,0.75 л,Монастрель
"Вино розовое сухое ""Лавендетт"" Розе, 2018, 0.75 л — купить французское вино ""Lavendette"" Rose, Alpes de Haute Provence IGP, 2018, Vins Breban, Франция, 750 мл – цена, отзывы",995,NA,NA,NA,NA,NA,"Розовое,сухое","Франция,Прованс",Vins Breban,12.5%,0.75 л,"Сира,Гренаш/Гарнача,Сенсо"
"Вино красное сухое ""Шато Ле Жубер"" Кюве Престиж, 2014, 0.75 л — купить французское вино ""Chateau Les Jouberts"" Cuvee Prestige, Blaye Cotes de Bordeaux AOC, 2014, Les Vignerons de Tutiac, Франция, 750 мл – цена, отзывы",892,"Вино ""Chateau Les Jouberts"" Cuvee Prestige, Blaye Cotes de Bordeaux AOC, 2014",1,7.9,10,36,"Красное,сухое","Франция,Бордо,Кот де Блай",Les Vignerons de Tutiac,13%,0.75 л,Мерло
"Вино красное сухое ""Финка эль Линсе"" Ред Бленд, 2016, 0.75 л — купить испанское вино Familia Bastida, ""Finca el Lince"" Red Blend, Jumilla DO, 2016, Bodegas Bastida, Испания, 750 мл – цена, отзывы",1 228,NA,NA,NA,NA,NA,"Красное,сухое","Испания,Мурсия,Хумилья",Bodegas Bastida,14%,0.75 л,"Монастрель,Сира"
"Вино красное сухое ""Виктория Диез-Кабаллеро"" Резерва, 2010, 0.75 л — купить испанское вино ""Victoria Diez-Caballero"" Reserva, Rioja DOCa, 2010, Campanile SL, Испания, 750 мл – цена",1 919,"Вино ""Victoria Diez-Caballero"" Reserva, Rioja DOCa, 2010",1,10.0,10,1,"Красное,сухое","Испания,Риоха",Campanile SL,14%,0.75 л,Темпранильо
"Вино красное сухое Тенута ди Треччано, ""Терра Росса"" Кьянти Колли Сенези Ризерва, 2015, 0.75 л — купить итальянское вино Tenuta di Trecciano, ""Terra Rossa"" Chianti Colli Senesi Riserva DOCG, 2015, Италия, 750 мл – цена, отзывы",1 730,"Вино Tenuta di Trecciano, ""Terra Rossa"" Chianti Colli Senesi Riserva DOCG, 2015",1,7.7,10,3,"Красное,сухое","Италия,Тоскана,Кьянти Колли Сенези",Tenuta di Trecciano,13.5%,0.75 л,Санджовезе
"Вино белое сухое Кантина Диомеде, ""Фолиа"" Бомбино Бьянко, 2018, 0.75 л — купить итальянское вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2018, Farnese, Италия, 750 мл – цена, отзывы",792,NA,NA,NA,NA,NA,"Белое,сухое","Италия,Апулия,Пулья",Farnese,12%,0.75 л,Бомбино
